pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7
Al.pz-vbc.UPF,7.624231,18,7,20,4,0.02,0.7,-6,8,1,'1 1 0',-29.17001092,16,114.74904370307922,-0.2268143949,0.4893164064,1.1876760023,2.12132,3.0549602786,3.7533193076,4.469450614
Al.pz-vbc.UPF,7.624231,18,7,20,4,0.02,0.7,-6,10,1,'1 1 0',-29.16626128,18,195.6688735485077,-0.1335725253,0.5416654704,1.2028005147,2.12132,3.0398369186,3.7009698689,4.3762060823
Al.pz-vbc.UPF,7.624231,18,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.16297701,21,326.9099361896515,-0.2172550131,0.4944476346,1.1912391466,2.12132,3.0513984034,3.7481883689,4.4598883353
Al.pz-vbc.UPF,7.624231,18,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.16759795,16,337.0905804634094,-0.1214801299,0.5526886145,1.2086304665,2.12132,3.0340069244,3.689948055,4.3641165423
Al.pz-vbc.UPF,7.624231,18,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.16422428,16,495.22676396369934,-0.1585235347,0.5299861773,1.2018304191,2.12132,3.0408054359,3.7126494133,4.4011593897
Al.pz-vbc.UPF,7.624231,18,7,20,4,0.02,0.7,-6,18,1,'1 1 0',-29.1670464,16,574.5592992305756,-0.1443064652,0.5399206684,1.2064258386,2.12132,3.0362116242,3.7027161154,4.3869433813
