pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z,atom,1,z,atom,2,z,atom,3,z,atom,4,z,atom,5
Al.pz-vbc.UPF,7.46834,18,5,30,4,0.02,0.7,-6,4,1,1,1,0,-20.88778977,13,24.7894601821899,0.0524651506,0.7191834945,1.414214,2.1092441258,2.7759618943,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,30,4,0.02,0.7,-6,6,1,1,1,0,-20.85756908,15,59.1675698757172,-0.0541934089,0.7173812059,1.414214,2.1110470019,2.8826203175,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,30,4,0.02,0.7,-6,8,1,1,1,0,-20.87019893,12,73.8272652626038,-0.0501601996,0.674644831,1.414214,2.1537835598,2.8785881257,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,30,4,0.02,0.7,-6,10,1,1,1,0,-20.86712254,12,126.664046049118,-0.0337582599,0.7015124393,1.414214,2.1269148627,2.8621866882,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,30,4,0.02,0.7,-6,12,1,1,1,0,-20.86832563,13,185.503836393356,-0.0367823907,0.6834954376,1.414214,2.1449343708,2.8652116745,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,30,4,0.02,0.7,-6,14,1,1,1,0,-20.86641036,11,209.157501459122,-0.0244416165,0.7021205507,1.414214,2.1263066278,2.8528681036,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,30,4,0.02,0.7,-6,16,1,1,1,0,-20.86721235,12,303.944127082825,-0.0235505174,0.6946194109,1.414214,2.1338089981,2.851977265,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,30,4,0.02,0.7,-6,18,1,1,1,0,-20.86809972,12,367.74567937851,-0.030984525,0.6969445282,1.414214,2.1314831065,2.8594118958,,,,,,,,
