pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z,atom,1,z,atom,2,z,atom,3,z,atom,4,z,atom,5
Al.pz-vbc.UPF,7.46834,18,5,20,4,0.05,0.7,-6,4,1,1,1,0,-20.88448698,11,12.4097397327423,0.043255284,0.7161664693,1.414214,2.1122610292,2.7851720304,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,20,4,0.05,0.7,-6,6,1,1,1,0,-20.85332139,10,22.1005039215088,-0.0134543826,0.721474473,1.414214,2.1069532167,2.8418817937,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,20,4,0.05,0.7,-6,8,1,1,1,0,-20.86555021,10,37.9403817653656,-0.0481141012,0.6760272595,1.414214,2.1524011556,2.876541994,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,20,4,0.05,0.7,-6,10,1,1,1,0,-20.86259105,11,59.8539958000183,-0.0210724079,0.7044933588,1.414214,2.1239344763,2.8495002508,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,20,4,0.05,0.7,-6,12,1,1,1,0,-20.86324565,12,98.0354707241058,-0.029026542,0.6908990141,1.414214,2.1375290111,2.857454233,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,20,4,0.05,0.7,-6,14,1,1,1,0,-20.86218772,11,118.520505428314,-0.0214259615,0.7010126894,1.414214,2.1274152728,2.8498537379,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,20,4,0.05,0.7,-6,16,1,1,1,0,-20.86272861,11,149.04145526886,-0.0233532244,0.6974318703,1.414214,2.1309960474,2.8517807284,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,20,4,0.05,0.7,-6,18,1,1,1,0,-20.86269175,11,195.789686203003,-0.0254709322,0.6979101829,1.414214,2.130517691,2.8538986311,,,,,,,,
