pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7
Al.pz-vbc.UPF,7.46834,10,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.17494546,16,265.5134468078613,-0.2405078431,0.4763618151,1.175573216,2.12132,3.0670668912,3.7662783626,4.4831479383
Al.pz-vbc.UPF,7.46834,12,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.1738679,16,272.0768852233887,-0.2253383338,0.4861585471,1.1799387615,2.12132,3.0627020097,3.7564828939,4.4679805405
Al.pz-vbc.UPF,7.46834,14,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.17356934,16,293.4414885044098,-0.2222725372,0.4880508201,1.1807526165,2.12132,3.0618873665,3.7545890295,4.4649121696
Al.pz-vbc.UPF,7.46834,16,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.17345742,16,290.01588106155396,-0.2213868852,0.4885919727,1.1809640446,2.12132,3.0616753326,3.754046241,4.464024774
Al.pz-vbc.UPF,7.46834,18,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.17344696,16,311.5100655555725,-0.2210945295,0.4887772043,1.1810545417,2.12132,3.0615832184,3.7538592322,4.463733721
Al.pz-vbc.UPF,7.46834,20,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.17342387,16,343.1345143318176,-0.221140993,0.488747099,1.1810412438,2.12132,3.0615964656,3.7538910547,4.4637809619
Al.pz-vbc.UPF,7.46834,22,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.17342319,16,384.01218605041504,-0.2209000541,0.4889014004,1.1811080224,2.12132,3.0615317924,3.7537378713,4.4635388296
Al.pz-vbc.UPF,7.46834,24,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.17342546,16,393.4359517097473,-0.2212301305,0.4886958457,1.1810507045,2.12132,3.0615915702,3.7539467579,4.4638704746
Al.pz-vbc.UPF,7.46834,26,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.17342364,16,393.91089963912964,-0.2210700411,0.4888181452,1.1810482835,2.12132,3.0615930182,3.7538221967,4.4637105942
Al.pz-vbc.UPF,7.46834,28,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.17342763,16,422.2368206977844,-0.2210251853,0.4888441803,1.1810598098,2.12132,3.0615797732,3.7537968971,4.4636671657
Al.pz-vbc.UPF,7.46834,30,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.17341684,16,457.8768541812897,-0.2212838693,0.4886619874,1.1810766312,2.12132,3.061561525,3.7539754118,4.4639213318
Al.pz-vbc.UPF,7.46834,32,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.17343596,16,529.8201968669891,-0.2212809535,0.4886620037,1.1810365247,2.12132,3.0616019559,3.7539760141,4.4639196859
