pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11
Al.pz-vbc.UPF,7.46834,18,11,20,4,0.02,0.7,-6,8,1,'1 1 0',-46.00439997,21,364.1212077140808,-0.0931903289,0.6195748561,1.358373563,2.0791976021,2.8090773493,3.535534,4.2619896645,4.9918685394,5.712693211,6.4514921634,7.1642575738
Al.pz-vbc.UPF,7.46834,18,11,20,4,0.02,0.7,-6,10,1,'1 1 0',-45.99577038,10,250.65582871437073,-0.014458339,0.7083714982,1.4161875716,2.1253014504,2.8310291246,3.535534,4.2400379873,4.9457650364,5.6548799413,6.3626954095,7.0855268825
Al.pz-vbc.UPF,7.46834,18,11,20,4,0.02,0.7,-6,12,1,'1 1 0',-45.99585537,22,894.3641629219055,-0.0577210476,0.6662901223,1.3919325961,2.1119524819,2.8208348488,3.535534,4.2502285374,4.959114016,5.679131439,6.4047768836,7.1287887092
Al.pz-vbc.UPF,7.46834,18,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.99947743,10,412.3795337677002,-0.0099967457,0.7088873294,1.4158658961,2.1200296136,2.8311539878,3.535534,4.2399137331,4.9510384557,5.6552019275,6.3621793363,7.0810642042
Al.pz-vbc.UPF,7.46834,18,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.99666025,10,596.0687003135681,-0.0151858732,0.7063286005,1.4195150361,2.1252002243,2.8266724507,3.535534,4.2443951587,4.9458675471,5.6515529563,6.364738118,7.0862534346
Al.pz-vbc.UPF,7.46834,18,11,20,4,0.02,0.7,-6,18,1,'1 1 0',-45.99762589,19,1863.298658132553,-0.0382426684,0.6768468479,1.3920773057,2.1108744494,2.8243997196,3.535534,4.2466638025,4.9601894704,5.6789881926,6.3942210529,7.1093070779
