,pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z atom 1,z atom 2,z atom 3,z atom 4,z atom 5
0,Al.pz-vbc.UPF,7.46834,18,5,20,4,0.02,0.7,-6,4,1,1 1 0,-20.88254381,13,15.238368034362793,0.0514074244,0.7186494665,1.414214,2.1097779701,2.7770199594
1,Al.pz-vbc.UPF,7.46834,18,5,20,4,0.02,0.7,-6,6,1,1 1 0,-20.8525754,15,34.52606534957886,-0.0559584984,0.7164125751,1.414214,2.112015226,2.8843864672
2,Al.pz-vbc.UPF,7.46834,18,5,20,4,0.02,0.7,-6,8,1,1 1 0,-20.865274,12,43.83233952522278,-0.0518976862,0.6742431356,1.414214,2.1541850314,2.8803257681
3,Al.pz-vbc.UPF,7.46834,18,5,20,4,0.02,0.7,-6,10,1,1 1 0,-20.86214031,12,71.24353814125061,-0.0362895431,0.7007545143,1.414214,2.1276733751,2.8647173243
4,Al.pz-vbc.UPF,7.46834,18,5,20,4,0.02,0.7,-6,12,1,1 1 0,-20.86336324,13,102.31525683403015,-0.0381916819,0.6817399357,1.414214,2.1466884647,2.8666199788
5,Al.pz-vbc.UPF,7.46834,18,5,20,4,0.02,0.7,-6,14,1,1 1 0,-20.86139976,11,121.92350745201111,-0.0270762115,0.7010325103,1.414214,2.1273953149,2.8555040055
6,Al.pz-vbc.UPF,7.46834,18,5,20,4,0.02,0.7,-6,16,1,1 1 0,-20.86218133,12,167.47726345062256,-0.0257377073,0.6935981757,1.414214,2.1348300311,2.8541658677
7,Al.pz-vbc.UPF,7.46834,18,5,20,4,0.02,0.7,-6,18,1,1 1 0,-20.86310319,12,200.0464940071106,-0.0325914825,0.6963284462,1.414214,2.1320994594,2.8610193457
