pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7,z8,z9
Al.pz-vbc.UPF,7.624231,18,9,20,4,0.02,0.7,-6,8,1,'1 1 0',-37.60965312,21,195.0540075302124,0.0409932707,0.730855185,1.4390085946,2.1311684159,2.828427,3.525681532,4.2178368229,4.9259909702,5.6158549946
Al.pz-vbc.UPF,7.624231,18,9,20,4,0.02,0.7,-6,10,1,'1 1 0',-37.6125451,21,334.47559237480164,0.1157775117,0.8014121478,1.469026178,2.1553932313,2.828427,3.5014594903,4.1878252905,4.8554358532,5.541074155
Al.pz-vbc.UPF,7.624231,18,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61005629,18,404.2225377559662,0.1161968996,0.8028113521,1.4813622096,2.1556226987,2.828427,3.5012309257,4.1754900412,4.8540356943,5.54064457
Al.pz-vbc.UPF,7.624231,18,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61390062,18,588.3544948101044,0.0901146542,0.778062168,1.4572969234,2.1478875851,2.828427,3.5089628423,4.1995544898,4.8787858381,5.5667340295
Al.pz-vbc.UPF,7.624231,18,9,20,4,0.02,0.7,-6,16,1,'1 1 0',-37.61028725,21,942.8910992145538,0.1027370832,0.7932683198,1.4733994359,2.1496547007,2.828427,3.5071954171,4.1834510626,4.8635784731,5.5541116165
Al.pz-vbc.UPF,7.624231,18,9,20,4,0.02,0.7,-6,18,1,'1 1 0',-37.61041308,20,1149.560783624649,0.0955816115,0.7848410002,1.4668677682,2.1535958239,2.828427,3.5032559547,4.1899845567,4.8720057541,5.5612712278
