pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5
Al.pz-vbc.UPF,7.46834,25,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.86335841,13,100.16668057441711,-0.0383053356,0.6818549684,1.414214,2.1465736807,2.8667400449
Al.pz-vbc.UPF,7.46834,25,5,20,4,0.02,0.7,-6,12,2,'1 1 0',-20.86336394,13,192.35533690452576,-0.0382868629,0.6818112353,1.414214,2.1466235228,2.8667072326
Al.pz-vbc.UPF,7.46834,25,5,20,4,0.02,0.7,-6,12,3,'1 1 0',-20.86336564,13,315.65924406051636,-0.0382892036,0.6818144503,1.414214,2.1466226827,2.8667065353
Al.pz-vbc.UPF,7.46834,25,5,20,4,0.02,0.7,-6,12,4,'1 1 0',-20.86336805,13,449.0229980945587,-0.038379921,0.6818648739,1.414214,2.1465773969,2.8667809372
Al.pz-vbc.UPF,7.46834,25,5,20,4,0.02,0.7,-6,12,5,'1 1 0',-20.86336587,13,586.5908188819885,-0.0384017665,0.6819269472,1.414214,2.1465138099,2.8667961177
