pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5
Al.pz-vbc.UPF,7.46834,25,5,10,4,0.02,0.7,-6,12,1,'1 1 0',-20.79884902,12,40.065733432769775,-0.0407143696,0.6811661931,1.414214,2.1472651364,2.8691535957
Al.pz-vbc.UPF,7.46834,25,5,15,4,0.02,0.7,-6,12,1,'1 1 0',-20.85408328,13,75.99571561813354,-0.0378696701,0.6825659685,1.414214,2.1458629377,2.8662992805
Al.pz-vbc.UPF,7.46834,25,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.86335841,13,99.33354187011719,-0.0383053356,0.6818549684,1.414214,2.1465736807,2.8667400449
Al.pz-vbc.UPF,7.46834,25,5,25,4,0.02,0.7,-6,12,1,'1 1 0',-20.86632229,12,240.3069953918457,-0.0369266414,0.6837403034,1.414214,2.1446900507,2.8653658352
Al.pz-vbc.UPF,7.46834,25,5,30,4,0.02,0.7,-6,12,1,'1 1 0',-20.86833132,13,215.16978096961975,-0.0369150838,0.6836409372,1.414214,2.1447887588,2.8653425281
Al.pz-vbc.UPF,7.46834,25,5,35,4,0.02,0.7,-6,12,1,'1 1 0',-20.86969885,13,299.5852472782135,-0.0368198477,0.6830432978,1.414214,2.1453807145,2.8652462511
