,pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z atom 1,z atom 2,z atom 3
0,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,2,1,1 1 0,-12.36556536,7,2.1343743801116943,-0.2610570332,0.707107,1.6752703628
1,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,3,1,1 1 0,-12.45570358,16,4.930953741073608,-0.3202702015,0.707107,1.7344865196
2,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,4,1,1 1 0,-12.39388622,7,4.021148204803467,-0.2097904614,0.707107,1.6240049666
3,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,5,1,1 1 0,-12.40589642,8,6.2326130867004395,-0.2344646736,0.707107,1.6486776428
4,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,6,1,1 1 0,-12.41745764,7,7.160318613052368,-0.2234417841,0.707107,1.6376553335
5,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,7,1,1 1 0,-12.41638483,7,9.261157274246216,-0.2267993706,0.707107,1.6410124618
6,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,8,1,1 1 0,-12.41330722,8,12.536379098892212,-0.2264156382,0.707107,1.6406283305
7,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,9,1,1 1 0,-12.4171684,7,14.206343650817871,-0.2342918921,0.707107,1.6485061246
