pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7,z8,z9
Al.pz-vbc.UPF,7.46834,25,9,20,4,0.02,0.7,-6,8,1,'1 1 0',-37.6242397,17,199.6196346282959,-0.0758071286,0.6433217944,1.3754943536,2.1012087904,2.828427,3.5556417944,4.2813558559,5.0135269204,5.7326553326
Al.pz-vbc.UPF,7.46834,25,9,20,4,0.02,0.7,-6,10,1,'1 1 0',-37.61706349,5,87.37986087799072,-0.0035726235,0.7120077747,1.4117559564,2.1246250586,2.828427,3.5322290996,4.2450988996,4.944845729,5.6604260504
Al.pz-vbc.UPF,7.46834,25,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61510523,7,204.98593926429749,-0.0083857728,0.7075413705,1.4210978508,2.1283649367,2.828427,3.5284893263,4.2357569108,4.9493120235,5.6652392454
Al.pz-vbc.UPF,7.46834,25,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61988032,4,142.36408376693726,-0.0005768759,0.7086549555,1.413329099,2.1228966125,2.828427,3.5339576591,4.2435257825,4.9481987888,5.6574308854
Al.pz-vbc.UPF,7.46834,25,9,20,4,0.02,0.7,-6,16,1,'1 1 0',-37.616696,6,278.49229407310486,-0.0065173695,0.7099171855,1.4187369976,2.1232182344,2.828427,3.5336356639,4.2381176903,4.9469366374,5.6633708046
Al.pz-vbc.UPF,7.46834,25,9,20,4,0.02,0.7,-6,18,1,'1 1 0',-37.61745282,6,360.9692347049713,-0.0058000813,0.7079808645,1.414636279,2.1246596731,2.828427,3.532194642,4.2422182409,4.9488723885,5.6626545868
