pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11
Al.pz-vbc.UPF,7.624231,18,11,20,4,0.02,0.7,-6,8,1,'1 1 0',-45.98854291,22,362.4645562171936,0.0397879615,0.7315082415,1.4452932933,2.137340149,2.8390832692,3.535534,4.2319850315,4.9337294819,5.6257757787,6.3395616508,7.0312815102
Al.pz-vbc.UPF,7.624231,18,11,20,4,0.02,0.7,-6,10,1,'1 1 0',-45.98956821,25,810.9915323257446,0.148484856,0.8329868574,1.5055024775,2.1897618229,2.8599721264,3.535534,4.2111019461,4.8813148599,5.5655817617,6.2380984897,6.9226031307
Al.pz-vbc.UPF,7.624231,18,11,20,4,0.02,0.7,-6,12,1,'1 1 0',-45.98636648,20,800.5609085559845,0.1328740266,0.8255450814,1.5103129173,2.1833385112,2.8562739739,3.535534,4.2147918657,4.887727317,5.5607622671,6.2455356894,6.938211192
Al.pz-vbc.UPF,7.624231,18,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.99061108,21,1583.3008422851562,0.1013447263,0.7962755012,1.4795778752,2.1651195737,2.8511330772,3.535534,4.2199348157,4.9059493485,5.5914904507,6.2747980701,6.9697260112
Al.pz-vbc.UPF,7.624231,18,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.98762462,24,2225.62748837471,0.1225062071,0.8146702955,1.4976457535,2.1799888181,2.8576120034,3.535534,4.213457494,4.8910820604,5.573427014,6.2564017334,6.9485643925
Al.pz-vbc.UPF,7.624231,18,11,20,4,0.02,0.7,-6,18,1,'1 1 0',-45.98791412,24,2307.3568551540375,0.121351426,0.8082059229,1.4952318335,2.1821435042,2.8573934291,3.535534,4.2136769666,4.8889312194,5.5758452048,6.2628735535,6.9497286454
