pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7
Al.pz-vbc.UPF,7.46834,18,7,20,4,0.02,0.7,-6,8,1,'1 1 0',-29.24187285,14,78.72138381004333,-0.0563780177,0.6640959423,1.3951176484,2.12132,2.8475225094,3.5785449084,4.2990189872
Al.pz-vbc.UPF,7.46834,18,7,20,4,0.02,0.7,-6,10,1,'1 1 0',-29.23582685,5,44.94912815093994,-0.0035491172,0.71163335,1.4134374679,2.12132,2.8292029367,3.5310083839,4.2461883517
Al.pz-vbc.UPF,7.46834,18,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.23705748,6,69.02205061912537,-0.0053156996,0.7073291206,1.4227785156,2.12132,2.8198607021,3.5353120379,4.2479558465
Al.pz-vbc.UPF,7.46834,18,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.2418203,5,77.97881031036377,-0.0019089763,0.7114180713,1.4129294761,2.12132,2.8297098013,3.5312229396,4.244550439
Al.pz-vbc.UPF,7.46834,18,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.24168745,6,150.49634981155396,-0.0056593073,0.7095098741,1.4221061415,2.12132,2.8205331389,3.5331320798,4.2482994914
Al.pz-vbc.UPF,7.46834,18,7,20,4,0.02,0.7,-6,18,1,'1 1 0',-29.24062023,10,268.5953941345215,-0.0090636479,0.7075563659,1.4133883198,2.12132,2.8292505774,3.5350849126,4.2517026313
