pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5
Al.pz-vbc.UPF,7.46834,25,5,20,4,0.02,0.7,-6,8,1,'1 1 0',-20.86527217,12,44.00436282157898,-0.051938856,0.6741979512,1.414214,2.1542323904,2.8803686058
Al.pz-vbc.UPF,7.46834,25,5,20,4,0.02,0.7,-6,10,1,'1 1 0',-20.86213327,12,71.47862648963928,-0.0362181855,0.7008097829,1.414214,2.127620022,2.8646502465
Al.pz-vbc.UPF,7.46834,25,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.86335841,13,99.96627020835876,-0.0383053356,0.6818549684,1.414214,2.1465736807,2.8667400449
Al.pz-vbc.UPF,7.46834,25,5,20,4,0.02,0.7,-6,14,1,'1 1 0',-20.86140278,11,118.4936933517456,-0.0272458711,0.7009998888,1.414214,2.1274279427,2.8556751988
Al.pz-vbc.UPF,7.46834,25,5,20,4,0.02,0.7,-6,16,1,'1 1 0',-20.86219662,12,165.31898951530457,-0.0260004388,0.6933251035,1.414214,2.1351053652,2.8544290627
Al.pz-vbc.UPF,7.46834,25,5,20,4,0.02,0.7,-6,18,1,'1 1 0',-20.86309927,11,188.33199381828308,-0.0329363587,0.697680297,1.414214,2.1307482644,2.8613639327
