pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7,z8,z9
Al.pz-vbc.UPF,7.46834,18,9,20,4,0.02,0.7,-6,8,1,'1 1 0',-37.62420449,17,173.37836265563965,-0.0762085979,0.64288392,1.3753926175,2.1010982677,2.828427,3.5557567006,4.2814631544,5.013975928,5.7330673579
Al.pz-vbc.UPF,7.46834,18,9,20,4,0.02,0.7,-6,10,1,'1 1 0',-37.61706695,5,78.36487412452698,-0.0035833032,0.7120149054,1.4117520231,2.1246315462,2.828427,3.5322226924,4.2451023286,4.9448391158,5.6604366979
Al.pz-vbc.UPF,7.46834,18,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61510493,7,154.99121522903442,-0.0083292723,0.7075532719,1.4210468474,2.1283322168,2.828427,3.5285217228,4.2358073889,4.9493018111,5.6651841403
Al.pz-vbc.UPF,7.46834,18,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61986866,4,125.58565187454224,-0.0005682761,0.7086252852,1.4133376925,2.122882228,2.828427,3.5339718839,4.2435170677,4.9482290708,5.6574223104
Al.pz-vbc.UPF,7.46834,18,9,20,4,0.02,0.7,-6,16,1,'1 1 0',-37.61669993,6,238.39325952529907,-0.0064904145,0.7099563303,1.4187392126,2.1231777969,2.828427,3.5336754688,4.238115958,4.9468989757,5.663344847
Al.pz-vbc.UPF,7.46834,18,9,20,4,0.02,0.7,-6,18,1,'1 1 0',-37.61746638,6,291.23692512512207,-0.005897831,0.707970527,1.4146569178,2.1246888706,2.828427,3.5321650681,4.2421967866,4.9488837586,5.6627534474
