pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7
Al.pz-vbc.UPF,7.46834,25,7,20,4,0.02,0.7,-6,8,1,'1 1 0',-29.1844078,16,130.4388587474823,-0.2869427428,0.4482369324,1.1650773396,2.12132,3.0775593797,3.7943983327,4.5295779432
Al.pz-vbc.UPF,7.46834,25,7,20,4,0.02,0.7,-6,10,1,'1 1 0',-29.17279555,15,192.3025074005127,-0.2008386872,0.4954811285,1.1786907207,2.12132,3.0639480307,3.7471552112,4.443476104
Al.pz-vbc.UPF,7.46834,25,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.1775079,18,317.6884343624115,-0.2877397573,0.4469027269,1.1661382551,2.12132,3.076498888,3.7957331898,4.5303757802
Al.pz-vbc.UPF,7.46834,25,7,20,4,0.02,0.7,-6,14,1,'1 1 0',-29.17342937,16,396.8863847255707,-0.2209932371,0.4888643727,1.1810625605,2.12132,3.0615756468,3.7537746853,4.463632828
Al.pz-vbc.UPF,7.46834,25,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.17585414,17,590.0255579948425,-0.2747191284,0.456257066,1.1722480673,2.12132,3.0703887337,3.7863798178,4.5173556263
Al.pz-vbc.UPF,7.46834,25,7,20,4,0.02,0.7,-6,18,1,'1 1 0',-29.17480766,16,624.7285177707672,-0.225432486,0.4854571103,1.1792277845,2.12132,3.0634112214,3.7571804158,4.4680709891
