,pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z atom 1,z atom 2,z atom 3
0,Al.pz-vbc.UPF,7.46834,14,3,10,4,0.02,0.7,-6,9,1,1 1 0,-12.3759538,7,6.86960244178772,-0.2398220555,0.707107,1.6540360909
1,Al.pz-vbc.UPF,7.46834,14,3,15,4,0.02,0.7,-6,9,1,1 1 0,-12.41251453,7,10.444993019104004,-0.2343952869,0.707107,1.6486094497
2,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,9,1,1 1 0,-12.4171684,7,14.116448640823364,-0.2342918921,0.707107,1.6485061246
3,Al.pz-vbc.UPF,7.46834,14,3,25,4,0.02,0.7,-6,9,1,1 1 0,-12.41887539,7,34.8011417388916,-0.2343341976,0.707107,1.6485482883
4,Al.pz-vbc.UPF,7.46834,14,3,30,4,0.02,0.7,-6,9,1,1 1 0,-12.42019748,7,30.88468909263611,-0.2340538176,0.707107,1.6482671851
5,Al.pz-vbc.UPF,7.46834,14,3,35,4,0.02,0.7,-6,9,1,1 1 0,-12.42105367,7,32.1132550239563,-0.2340187854,0.707107,1.6482318589
6,Al.pz-vbc.UPF,7.46834,14,3,40,4,0.02,0.7,-6,9,1,1 1 0,-12.42147013,7,75.08829927444458,-0.23399994,0.707107,1.6482140708
